Product Name,Price,Rating
Aroma NB126 Amplifier 40 Hours* Playtime | Perfect for ...,₹404,3.6
"Boult Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, 40ms...","₹1,099",4.1
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,4
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...",₹999,4
"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...",₹899,4
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
"Microflash Bluetooth Neckband Q32 50Hrs Battery, Deep B...",₹279,3.9
"realme Buds Air7 with 52dB ANC, 12.4mm Driver, 52hrs Pl...","₹2,799",4.5
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,099",4.1
"Boult X1-Wired with Dual Dynamic Drivers, BoomX Rich Ba...",₹329,4.1
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
Nu Republic 20 Upto 12 hrs Playtime with 52 mm Dynamic ...,₹699,4.1
"Boult Q 70Hrs Battery, ENC Mic, 40mm Boosted Drivers, 4...","₹1,799",4.2
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹799,4.1
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,099",4.1
"truke Buds Elite with 10mm Driver, 70Hrs Battery, Volum...",₹599,4.2
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft...","₹1,299",4.3
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...","₹2,999",3.9
"realme Buds T110 with AI ENC for calls, upto 38 hours o...","₹1,099",4.2
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,₹300,3.6
"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","₹1,199",4
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
boAt 333 Pro with 60 Hours Battery Bluetooth,"₹1,299",4.2
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",₹999,4.1
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
MZ Mpods19 (Wireless Earbuds) 1200mAh Battery True Wire...,₹286,3.7
boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,₹699,4.1
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,₹289,3.6
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹878,4.1
boAt BassHeads 220 Wired,₹399,4.2
MZ M406SP (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,₹295,4.1
Aroma NB126 Amplifier 40 Hours* Playtime | Perfect for ...,₹404,3.6
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,3.7
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹768,4.1
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹159,3.7
"realme Buds Wireless 5 with 50dB ANC, 360 degree Spatia...","₹1,499",4.2
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,099",4.1
"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹1,799",4.3
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹799,4.1
Aroma NB126 Amplifier 40 Hours Bluetooth Gaming,₹399,3.6
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,4.1
"beatXP Vibe XPods with 60H Playtime, Quad Mic ENC, Gami...",₹429,3.8
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
Aroma NB121 Almaty Upto 40H Playtime* Fast Charging Wit...,₹299,3.8
"Mivi Fort S16 with Dual Full Range Drivers, 6Hrs Playba...",₹999,4
boAt Stone 350 10 W Bluetooth Speaker,"₹1,199",4.3
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",₹799,3.9
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,3.9
JBL C150SI with One Button Universal Remote Wired,₹599,4.2
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...","₹1,099",4.1
"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft...","₹1,299",4.3
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
boAt Rockerz 255 Pro+ with ASAP Charge & 60 HRS Playbac...,₹999,4.2
"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...","₹2,199",3.8
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,4
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
Tata Sky 100% Original Universal (Works With All Tv) NO...,₹160,4.1
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...",₹999,4
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,₹289,3.6
"realme Buds Wireless 5 with 50dB ANC, 360 degree Spatia...","₹1,499",4.2
OnePlus Bullets Wireless Z2 Bluetooth,"₹1,299",4.3
